股票代號,股票名稱_今日,投資比例(%)_今日,持有股數_今日,股票名稱_昨日,投資比例(%)_昨日,持有股數_昨日,股數變化,變化
2059,川湖,3.26,315000.0,川湖,3.27,323000.0,-8000.0,減碼
2330,台積電,8.36,1722000.0,台積電,8.06,1761000.0,-39000.0,減碼
2345,智邦,4.88,987000.0,智邦,4.93,1012000.0,-25000.0,減碼
2383,台光電,6.18,623000.0,台光電,6.26,636000.0,-13000.0,減碼
2454,聯發科,3.75,406000.0,聯發科,3.65,412000.0,-6000.0,減碼
3017,奇鋐,3.52,639000.0,奇鋐,3.52,651000.0,-12000.0,減碼
3037,欣興,5.63,2828000.0,欣興,5.92,2902000.0,-74000.0,減碼
6223,旺矽,3.71,330000.0,旺矽,3.74,339000.0,-9000.0,減碼
6669,緯穎,4.36,390000.0,緯穎,4.29,400000.0,-10000.0,減碼
8996,高力,3.49,1630000.0,高力,3.4,1674000.0,-44000.0,減碼
