股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
6488,環球晶,174000,394000,220000,0.535,1.1448,0.6098,增加
2330,台積電,1406000,1406000,0,7.9665,8.2727,0.3062,權重增加
2059,川湖科技,293000,293000,0,5.2538,5.8361,0.5823,權重增加
3665,貿聯-KY,955000,955000,0,4.2782,4.5597,0.2815,權重增加
2454,聯發科技,406000,406000,0,3.8574,3.9455,0.0881,權重增加
6584,南俊國際,2231000,2231000,0,3.5456,3.5668,0.0212,權重增加
3443,創意,311000,311000,0,3.2986,3.3598,0.0612,權重增加
3711,日月光投資控股,1629000,1629000,0,2.5476,2.5572,0.0096,權重增加
3661,世芯-KY,215000,215000,0,2.0872,2.0919,0.0047,權重增加
2337,旺宏,1343000,1343000,0,0.4469,0.4501,0.0032,權重增加
3363,上詮,300000,300000,0,0.3966,0.4246,0.028,權重增加
5289,宜鼎國際,98000,98000,0,0.3713,0.3757,0.0044,權重增加
3260,威剛科技,358000,358000,0,0.3384,0.3487,0.0103,權重增加
2383,台光電,563000,563000,0,7.0997,7.0868,-0.0129,權重減少
3017,奇鋐科技,1009000,1009000,0,6.2051,5.9612,-0.2439,權重減少
2345,智邦科技,977000,977000,0,5.952,5.7839,-0.1681,權重減少
8996,高力熱處理工業,1630000,1630000,0,5.3499,5.2474,-0.1025,權重減少
6223,旺矽科技,326000,326000,0,5.1472,4.9604,-0.1868,權重減少
3037,欣興,2097000,2097000,0,4.4291,4.2477,-0.1814,權重減少
3008,大立光,420000,420000,0,4.0001,3.9398,-0.0603,權重減少
2327,國巨*,1566000,1566000,0,3.6249,3.4175,-0.2074,權重減少
6187,萬潤,1220000,1220000,0,2.9083,2.8654,-0.0429,權重減少
2303,聯電,7000000,7000000,0,2.6764,2.6164,-0.06,權重減少
6515,穎崴科技,120000,120000,0,2.464,2.3222,-0.1418,權重減少
8299,群聯電子,445000,445000,0,2.3471,2.3017,-0.0454,權重減少
2455,全新,2753000,2753000,0,2.1432,2.1144,-0.0288,權重減少
8021,尖點,1501000,1501000,0,1.8323,1.8025,-0.0298,權重減少
6182,合晶,4500000,4500000,0,1.6169,1.5788,-0.0381,權重減少
7751,竑騰,372000,372000,0,1.2895,1.2244,-0.0651,權重減少
3583,辛耘,566000,566000,0,1.1211,1.1028,-0.0183,權重減少
3189,景碩科技,440013,440013,0,0.7732,0.7289,-0.0443,權重減少
6139,亞翔,250000,250000,0,0.5366,0.5323,-0.0043,權重減少
6805,富世達,109000,109000,0,0.3941,0.3916,-0.0025,權重減少
7734,印能科技,56000,56000,0,0.3811,0.374,-0.0071,權重減少
3264,欣銓科技,72000,72000,0,0.0426,0.0401,-0.0025,權重減少
3491,昇達科,1000,1000,0,0.0029,0.0028,-0.0001,權重減少
