股票代號,股票名稱,權重(%),持有股數
2330,台積電,6.94,484000
2308,台達電,4.68,332000
2357,華碩,3.8,721000
2383,台光電,2.77,93000
2382,廣達電腦,2.66,1129000
1477,聚陽實業,2.48,1763000
2360,致茂電子,2.46,161000
2618,長榮航,2.36,10383000
2385,群光,2.33,2740000
2317,鴻海精密工業,2.21,1310000
1319,東陽,2.18,3570000
7769,鴻勁精密,2.15,49000
2345,智邦科技,2.06,136000
3017,奇鋐科技,1.98,123000
8454,富邦媒體科技,1.98,816000
2368,金像電,1.95,229000
2408,南亞科技,1.92,906000
5274,信驊科技,1.86,17000
6669,緯穎科技服務,1.81,55000
6121,新 普,1.71,675000
2059,川湖科技,1.66,43000
3592,瑞鼎科技,1.66,1041000
8210,勤誠興業,1.64,191000
3526,凡甲科技,1.63,711000
2344,華邦電子,1.56,1622000
4915,致伸科技,1.55,3320000
3665,貿聯-KY,1.52,116000
9910,豐泰,1.48,3009000
2393,億光電子工業,1.47,3567000
2731,雄獅旅行社,1.37,1274000
6223,旺矽科技,1.34,39000
2548,華固建設,1.33,2101000
3711,日月光投資控股,1.22,362000
3090,日電貿,1.2,920000
6274,台燿,1.2,125000
6515,穎崴科技,1.2,23000
9941,裕融企業,1.14,2199000
8299,群聯電子,1.12,80000
6670,復盛應用科技,1.05,624000
6805,富世達,1.05,89000
5534,長虹建設,0.99,2069000
2727,王品餐飲,0.98,647000
9938,台灣百和工業,0.96,3414000
3653,健策,0.95,40000
2204,中華,0.9,2641000
2347,聯強,0.89,1668000
6768,志強國際企業,0.87,1471000
2454,聯發科技,0.86,34000
8112,至上電子,0.84,1591000
9802,鈺齊國際,0.84,1730000
9907,統一實,0.8,7756000
3045,台灣大哥,0.8,1117000
4904,遠傳電信,0.77,1226000
4105,台灣東洋藥品工業,0.76,1624000
4746,台耀化學,0.73,2227000
3227,原相,0.61,460000
9939,宏全國際,0.51,647000
9958,世紀鋼鐵結構,0.45,626000
6146,耕興,0.39,294000
1215,台灣卜蜂企業,0.34,470000
6782,視陽,0.3,243000
