股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
2327,國巨*,24987000,25107000,120000,4.89,4.94,0.05,增加
2308,台達電,7240000,7420000,180000,4.47,4.86,0.39,增加
6274,台燿,5398000,5696000,298000,2.63,2.83,0.2,增加
4958,臻鼎-KY,2712000,3543000,831000,0.46,0.6,0.14,增加
2368,金像電,1234000,1363000,129000,0.45,0.49,0.04,增加
2454,聯發科技,5186000,5186000,0,8.7,9.25,0.55,權重增加
3037,欣興,20300000,20300000,0,7.09,7.83,0.74,權重增加
3653,健策,2512000,2512000,0,4.94,5.04,0.1,權重增加
3711,日月光投資控股,16811000,16811000,0,3.82,4.01,0.19,權重增加
6805,富世達,1773000,1773000,0,1.45,1.53,0.08,權重增加
5274,信驊科技,207900,207900,0,1.43,1.5,0.07,權重增加
2449,京元電子,13138450,13138450,0,1.36,1.43,0.07,權重增加
3443,創意,413000,413000,0,1.05,1.19,0.14,權重增加
8996,高力熱處理工業,485000,485000,0,0.25,0.28,0.03,權重增加
6278,台表科,3248000,3248000,0,0.23,0.24,0.01,權重增加
2330,台積電,11864000,11864000,0,10.39,10.05,-0.34,權重減少
2383,台光電,4750000,4750000,0,8.27,7.95,-0.32,權重減少
3017,奇鋐科技,5949000,5949000,0,7.26,6.95,-0.31,權重減少
2303,聯電,89118000,89118000,0,4.95,4.91,-0.04,權重減少
2345,智邦科技,6464000,6464000,0,4.27,4.26,-0.01,權重減少
6515,穎崴科技,95000,95000,0,0.22,0.19,-0.03,權重減少
6271,同欣電,2222000,2222000,0,0.18,0.17,-0.01,權重減少
6223,旺矽科技,2546000,2544000,-2000,5.26,4.68,-0.58,減少
6669,緯穎科技服務,5972561,5582561,-390000,4.55,4.07,-0.48,減少
8046,南電,9426000,9037000,-389000,3.69,3.63,-0.06,減少
3665,貿聯-KY,4280848,3943848,-337000,3.37,3.05,-0.32,減少
6510,精測,446000,400000,-46000,0.56,0.51,-0.05,減少
3264,欣銓科技,6628000,5182000,-1446000,0.63,0.49,-0.14,減少
8210,勤誠興業,1364000,1159000,-205000,0.44,0.36,-0.08,減少
6191,精成科,3988000,3988000,0,0.12,0.12,0.0,無變化
3376,新日興,1740000,1740000,0,0.11,0.11,0.0,無變化
2313,華通,501000,501000,0,0.04,0.04,0.0,無變化
2002,中鋼,5163000,5163000,0,0.03,0.03,0.0,無變化
1590,亞德客-KY,1000,1000,0,0.0,0.0,0.0,無變化
2317,鴻海精密工業,1000,1000,0,0.0,0.0,0.0,無變化
2360,致茂電子,1000,1000,0,0.0,0.0,0.0,無變化
2382,廣達電腦,1000,1000,0,0.0,0.0,0.0,無變化
2408,南亞科技,1000,1000,0,0.0,0.0,0.0,無變化
2439,美律,1000,1000,0,0.0,0.0,0.0,無變化
2481,強茂,5000,5000,0,0.0,0.0,0.0,無變化
2637,慧洋-KY,1000,1000,0,0.0,0.0,0.0,無變化
3008,大立光,1000,1000,0,0.0,0.0,0.0,無變化
3661,世芯-KY,1000,1000,0,0.0,0.0,0.0,無變化
4966,譜瑞-KY,1000,1000,0,0.0,0.0,0.0,無變化
4979,華星光,1000,1000,0,0.0,0.0,0.0,無變化
5347,世界先進,1000,1000,0,0.0,0.0,0.0,無變化
6187,萬潤,1000,1000,0,0.0,0.0,0.0,無變化
6488,環球晶,1000,1000,0,0.0,0.0,0.0,無變化
8150,南茂科技,1000,1000,0,0.0,0.0,0.0,無變化
8358,金居,1000,1000,0,0.0,0.0,0.0,無變化
