股票代號,股票名稱,權重(%),持有股數
2330,台積電,8.2633,1794000
6669,緯穎科技服務,7.5094,510000
2454,聯發科技,6.044,742000
6139,亞翔,5.5235,3800000
3105,穩懋,5.3023,5709000
2059,川湖科技,4.9149,184000
3008,大立光,3.6488,255000
2383,台光電,3.375,317000
3491,昇達科,3.2967,1180000
4958,臻鼎-KY,3.2096,3178000
2360,致茂電子,3.2074,837000
6223,旺矽科技,3.1352,307000
6531,愛普科技,2.9839,1650000
2345,智邦科技,2.6098,627000
3017,奇鋐科技,2.4203,376000
6488,環球晶,2.079,1108000
2395,研華,1.977,1473000
2301,光寶科技,1.8566,3273000
3583,辛耘,1.6897,1158000
2455,全新,1.545,1562000
2303,聯電,1.3114,5243000
2377,微星,1.2654,4353000
5483,中美晶,1.2144,3506000
2376,技嘉,1.2103,1786000
6214,精誠,1.2037,3494000
3265,台星科股份有限公司,1.1868,3445000
6274,台燿,1.1797,431000
2467,志聖,1.1779,1000000
3231,緯創資通,1.1698,3405000
5425,台半,1.1623,6468000
5274,信驊科技,1.1602,35900
2428,興勤電子工業,1.1293,2337000
3090,日電貿,1.1009,3371000
3711,日月光投資控股,1.0939,950000
2478,大毅,1.0376,4451000
6239,力成科技,1.0239,1910000
8996,高力熱處理工業,0.8473,382000
2486,一詮精密,0.8372,1607000
6472,保瑞,0.8182,1032000
5536,聖暉*,0.765,459000
3529,力旺電子,0.4634,93000
2476,鉅祥,0.3114,1294000
6196,帆宣,0.2938,307000
6672,騰輝電子-KY,0.2844,541000
3617,碩天,0.2805,591000
2885,元大金,0.2787,2213556
8070,長華*,0.2695,2839000
6446,藥華醫藥,0.1038,42000
6640,均華,0.0274,13000
6177,達麗,0.0174,194350
3443,創意,0.0113,1000
8046,南電,0.0023,1000
4441,振大環球,0.0013,4000
1519,華城電機,0.0009,660
8358,金居,0.0009,1000
2881,富邦金融控股,0.0,250
2886,兆豐金,0.0,1000
