股票代號,股票名稱_今日,投資比例(%)_今日,持有股數_今日,股票名稱_昨日,投資比例(%)_昨日,持有股數_昨日,股數變化,變化
1477,聚陽,2.58,1494000.0,聚陽,2.37,1111000.0,383000.0,加碼
2308,台達電,4.61,258000.0,台達電,4.26,192000.0,66000.0,加碼
2317,鴻海,2.68,1346000.0,鴻海,2.53,1001000.0,345000.0,加碼
2330,台積電,7.39,408000.0,台積電,6.85,303000.0,105000.0,加碼
2345,智邦,2.53,126000.0,智邦,2.35,94000.0,32000.0,加碼
2357,華碩,2.78,554000.0,華碩,2.6,412000.0,142000.0,加碼
2368,金像電,2.33,205000.0,0,0.0,0.0,205000.0,加碼
2382,廣達,2.39,886000.0,廣達,2.29,659000.0,227000.0,加碼
2383,台光電,3.31,85000.0,台光電,3.13,63000.0,22000.0,加碼
6669,0,0.0,0.0,緯穎,2.25,45000.0,-45000.0,減碼
7769,鴻勁,2.61,57000.0,鴻勁,2.41,42000.0,15000.0,加碼
